Order,PO,Call #,Color,Interior Color,Handing,Options 1,Options 2,Options 3,Jamb,Misc.
17,ELEVATE CASEMENT ASSY,CN 3755,ebony exterior,black pine interior,left hand,"7/8 "" SDL - with spacer bar",rectangular - special cut 2W2H,Low E2 w/Argon,"6 9/16"" jambs",nailing fin
,,,,,,,,,,
,,,,,,,,,,
AZJ01794,1698,,,,,,,,,
1,CUIFD G2 6 9/16 X(X) SASH,CN 5070,stone white clad ,Primed pine ,Left Hand,"7/8"" SDL - With Spacer Bar - stainless ",Rectangular - Standard Cut 2W5H,Tempered Low E2 w/Argon,na,Black Weather Strip
AGL00314,1878,,,,,,,,,
1,ULT AWNING ASSY,CN 6440,stone white clad ,white pine interior,na,black perimeter bar,na,Low E2 w/ Argon,"4 9/16"" jambs",nailing fin
AVG00132,,,,,,,,,,
1,,na,na,na,na,na,na,na,na,na
1a,,na,na,na,na,na,na,na,na,na
AZJ00116,WATERMILL SR,,,,,,,,,
1e,DISPLAY SIGN HOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZJ00316,1508,,,,,,,,,
1,ELEVATE CASEMENT,CN 3763,ebony exterior,white interior,Left Hand,"7/8"" SDL - With Spacer Bar-Stainless",rectangular - special cut 2W3H,Low E2 w/Argon,"4 9/16"" Jambs",nailing fin
SUL25788,,,,,,,,,,
8,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZJ02450,4450,,,,,,,,,
1,ESSENTIAL DIRECT GLAZE RECT,NA,stone white exterior,stone white interior,NA,stainless perimeter bar,rectangular 2W2H,Low E2 w/Argon,"2"" jambs","nailing fin with 4"" structural brackets"
1,ESSENTIAL DIRECT GLAZE RECT,NA,stone white exterior,stone white interior,NA,stainless perimeter bar,rectangular 2W2H,Low E2 w/Argon,"2"" jambs","nailing fin with 4"" structural brackets"
1,ESSENTIAL DIRECT GLAZE RECT,NA,stone white exterior,stone white interior,NA,stainless perimeter bar,rectangular 2W2H,Low E2 w/Argon,"2"" jambs","nailing fin with 4"" structural brackets"
1,ESSENTIAL DIRECT GLAZE RECT,NA,stone white exterior,stone white interior,NA,stainless perimeter bar,rectangular 2W2H,Low E2 w/Argon,"2"" jambs","nailing fin with 4"" structural brackets"
1,ESSENTIAL DIRECT GLAZE RECT,NA,stone white exterior,stone white interior,NA,stainless perimeter bar,rectangular 2W2H,Low E2 w/Argon,"2"" jambs","nailing fin with 4"" structural brackets"
1,ESSENTIAL DIRECT GLAZE RECT,NA,stone white exterior,stone white interior,NA,stainless perimeter bar,rectangular 2W2H,Low E2 w/Argon,"2"" jambs","nailing fin with 4"" structural brackets"
AZJ03039,4931,,,,,,,,,
8,ULT CSMT ASSY,CN 2464,custom color clad,arctic white,left hand,stainless perimeter bar,2W1H - rectangle assembly ,Tripane low E2/E1 w/ Argon,"4 9/16"" jambs",nailing fin
17,CUIFD G2 2.25 6 9/16 SL ASSY,NA,custom color clad,arctic white,na,stainless perimeter bar,na,tempered tripane low E2/E1/ERS,"6 9/16"" jambs",Thru Jamb Installation w/ Nailing Fin
17,CUIFD G2 2.25 6 9/16 SL ASSY,NA,custom color clad,arctic white,na,stainless perimeter bar,na,tempered tripane low E2/E1/ERS,"6 9/16"" jambs",Thru Jamb Installation w/ Nailing Fin
AZJ03448,5151,,,,,,,,,
1,ELEVATE CASEMENT ASSEMBLY,CN 3347,stone white,White interior,right hand,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
2,ELEVATE GLIDER XO ASSY,CN 3624,stone white,White interior,na,stainless perimeter bar,na,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
3,ELEVATE GLIDER XO ASSY,CN 3624,stone white,white interior,na,stainless perimeter bar ,na,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
4,ELEVATE RECT POLY ASSY,NA,stone white,white interior,na,stainless perimeter bar ,rectangular - special cut 2W3H,tempered Low E2 W/ Argon,"6 9/16"" jambs",Nailing Fin DH/GL/DR Frame W/ certification brackets
5,ELSFD OX ASSY,CN 6070,stone white,White interior,na,stainless perimeter bar,na,tempered low E2 W/ argon,"6 9/16"" jambs",nailing fin
9,ELEVATE CASEMENT ASSEMBLY,CN 3759,stone white,white interior,left hand,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
10,ELEVATE CASEMENT ASSEMBLY,CN 3759,stone white ,White interior,right hand,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
11,ELEVATE CASEMENT ASSEMBLY,CN 3759,stone white,White interior,left hand,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
12,ELEVATE CASEMENT ASSEMBLY,CN 3759,stone white,White interior,right hand,stainless perimeter bar ,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
13,ELEVATE CASEMENT ASSEMBLY,CN 3759,stone white,White interior,left hand/right hand ,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
14,ELEVATE CASEMENT ASSEMBLY,CN 2547,stone white,White interior,left hand/right hand ,stainless perimeter bar,Cottage 2W2H,Low E2 w/ Argon,"6 9/16"" jambs",nailing fin
